id;title;content;jhi_read;is_delete
1;Solutions Wooden;Borders violet feed;true;true
2;Franc;SCSI invoice;false;false
3;Dam compressing executive;Operations;true;false
4;Direct Implementation Nakfa;Outdoors Brand Creative;false;false
5;Pass Texas Plastic;interfaces Senior;false;true
6;Chief;responsive Internal;true;false
7;interface synthesize;hacking;true;false
8;Ergonomic mindshare Grocery;Concrete;true;false
9;Nebraska Generic brand;Intelligent Towels;true;true
10;Investment Concrete;payment Kids;false;false
