id;name;description;notice;location;verify_phone;status;active;thumbnail;point;favorite_count;latitude;longitude;jhi_condition;request_count;receive_count;is_swap_available;auction_time
1;Steel;Assistant;cross-platform Principal;wireless Computer;reboot magenta THX;SWAPPED;true;Unbranded Soap;63081;44325;83023;40879;USED;57853;43291;false;2022-03-13T20:22:10
2;Korea transmitting New;green Malagasy;Lao;Australian;Business-focused;SWAPPED;false;CFP orange;9548;46269;94963;80588;USED;35518;58781;true;2022-03-13T23:08:34
3;Sports COM Implementation;Cape;Ethiopia;Crossroad CSS;De-engineered;SWAPPED;true;Ball pixel;28408;60076;78380;83666;USED;16934;78950;false;2022-03-13T04:18:14
4;South Forward open-source;Fantastic;Buckinghamshire;metrics;lavender application grey;SWAPPED;true;Customer;62316;4460;6748;26451;USED;26246;9545;false;2022-03-13T05:32:23
5;Handcrafted;relationships;Chair solution Zimbabwe;Chicken;Usability multi-byte;SWAPPED;false;Outdoors Global;1215;96602;8838;12685;NEW;21940;67786;false;2022-03-13T21:46:25
6;wireless Practical Solutions;International Square;Frozen Sausages;invoice;CFA;SWAPPED;true;executive;79010;99734;83499;8484;LIKENEW;46693;28155;true;2022-03-13T22:12:52
7;invoice convergence moratorium;copying;synthesizing pink Sausages;Computers Man;Electronics;SWAPPED;false;disintermediate Account portals;51148;36478;41867;36836;NEW;17957;67526;false;2022-03-13T23:21:03
8;Account Account;Functionality Small adapter;Gloves;hack back-end application;USB Future;SWAPPED;true;Human deposit orange;63521;28240;38334;98305;USED;33555;55793;true;2022-03-13T17:25:17
9;circuit Regional JBOD;Directives;Guinea-Bissau SCSI;Serbia;content Cordoba;AVAILABLE;true;Plastic;25374;59294;78814;7824;NEW;3827;89563;false;2022-03-13T08:18:14
10;Palladium Lebanon;Avon Nevada clicks-and-mortar;Rubber aggregate indexing;Computer PCI;Visionary Baby teal;SWAPPED;true;transform;86382;51255;30263;28059;USED;85882;44144;true;2022-03-13T12:29:22
