id;jhi_key;value;note
1;Decentralized feed;solution Lithuania sky;Operations green
2;B2C Small deploy;harness Toys;virtual navigate Handcrafted
3;collaborative;synergies Multi-lateral;deploy Walks
4;Avon;calculate Corporate;Idaho grey Rustic
5;Village XSS;Dynamic generation;synthesize Wooden Coordinator
6;Forward Solutions;silver one-to-one;blue
7;Rubber Jewelery Concrete;Refined;enterprise
8;Regional JBOD e-enable;transmit reboot Account;Organic
9;portals interfaces Dynamic;compress Supervisor;Savings CFA
10;blue parse;Fresh hacking;pink
