id;active;owner_confirm;exchanger_confirm;confirm_phone;chatting;status
1;true;false;true;Computer;true;WAITING
2;true;false;false;schemas Netherlands indexing;false;WAITING
3;true;false;false;optical Soft;true;WAITING
4;false;true;false;Station Gold;false;SWAPPING
5;true;true;true;Health Kids;false;WAITING
6;true;false;true;array;true;WAITING
7;true;true;false;Designer Quality-focused;true;DONE
8;false;false;false;Bacon connect Engineer;false;DONE
9;true;false;true;District hard;true;SWAPPING
10;false;true;true;quantifying;false;WAITING
